inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
8185304938,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_AdditionalFilesc3b9f3c7-5e52-4d5e-8b20-19adc95a34c7.xml","xml",65534,65534,776,59,48,1,"0100770",1690446546,1690446546,1690446546,-1,0
5935604266,5935604264,4,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513","",65534,65534,1617,59,64,2,"0040770",1690446548,1690446548,1690446548,18,61295395408
8221520396,8221520380,4,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/anubis/SPPMetadataCache","",0,10,0,59,64,2,"0040770",1692403539,1692403539,1692403539,0,0
5939070837,5939070719,4,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/capaldi/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1590137258,1590137258,1590137258,0,0
8236059878,8238258189,4,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/rocinante/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1692666191,1692666191,1692666191,0,0
9224559741,8241895660,5,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/rocinante/Catalog/BackupGlobalCatalog","",65534,65534,49402,59,384,1,"0100770",1728033381,1728033381,1728033383,-1,0
9230522976,8241895660,5,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/rocinante/Catalog/GlobalCatalog","",65534,65534,47670,59,336,1,"0100770",1728033383,1728033383,1728033383,-1,0
8241895660,8237774747,4,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/rocinante/Catalog","",65534,65534,68,59,64,2,"0040770",1728033383,1728033383,1728033383,2,97072
8227103131,8204713822,4,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/hammurabi/SPPMetadataCache","",0,10,0,59,64,2,"0040770",1692398015,1692398015,1692398015,0,0
8236059859,8236059858,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/rocinante/Catalog/BackupGlobalCatalog","",65534,65534,6306,59,48,1,"0100770",1692665883,1692665883,1692666191,-1,0
8236059877,8236059858,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/rocinante/Catalog/GlobalCatalog","",65534,65534,11138,59,144,1,"0100770",1692666191,1692666191,1692666191,-1,0
8236059858,8238258189,4,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/rocinante/Catalog","",65534,65534,68,59,64,2,"0040770",1692666191,1692666191,1692666191,2,17444
5929207014,5938223807,4,"/home/dsimsb/groups/dcback/research.computing/Wednesday/WindowsImageBackup/capaldi/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1589962986,1589962986,1589962986,0,0
8228669586,8232651677,5,"/home/dsimsb/groups/dcback/research.computing/Friday/WindowsImageBackup/anubis/Catalog/BackupGlobalCatalog","",0,10,40638,59,288,1,"0100770",1692425086,1692425086,1692425087,-1,0
